Source,Target,Weight
American Blonde Ale,American Double / Imperial IPA,0
Tripel,American Double / Imperial IPA,0
Flanders Oud Bruin,American Double / Imperial IPA,0
English Stout,American Double / Imperial IPA,0
Quadrupel (Quad),American Double / Imperial IPA,0
Milk / Sweet Stout,American Double / Imperial IPA,0
Winter Warmer,American Double / Imperial IPA,0
Vienna Lager,American Double / Imperial IPA,0
Irish Red Ale,American Double / Imperial IPA,0
American Adjunct Lager,American Double / Imperial IPA,0
English Bitter,American Double / Imperial IPA,0
Schwarzbier,American Double / Imperial IPA,0
Belgian Strong Dark Ale,American Double / Imperial IPA,0
Belgian Pale Ale,American Double / Imperial IPA,0
Scottish Ale,American Double / Imperial IPA,0
Light Lager,American Double / Imperial IPA,0
American Amber / Red Lager,American Double / Imperial IPA,0
American Pale Lager,American Double / Imperial IPA,0
Dortmunder / Export Lager,American Double / Imperial IPA,0
Altbier,American Double / Imperial IPA,0
Berliner Weissbier,American Double / Imperial IPA,0
English Porter,American Double / Imperial IPA,0
Maibock / Helles Bock,American Double / Imperial IPA,0
Irish Dry Stout,American Double / Imperial IPA,0
Keller Bier / Zwickel Bier,American Double / Imperial IPA,0
English Strong Ale,American Double / Imperial IPA,0
Wheatwine,American Double / Imperial IPA,0
English Pale Ale,American Double / Imperial IPA,0
Bière de Champagne / Bière B,American Double / Imperial IPA,0
Czech Pilsener,American Double / Imperial IPA,0
American Wild Ale,American Double / Imperial IPA,0
Doppelbock,American Double / Imperial IPA,0
Dunkelweizen,American Double / Imperial IPA,0
Gueuze,American Double / Imperial IPA,0
Eisbock,American Double / Imperial IPA,0
Euro Strong Lager,American Double / Imperial IPA,0
Scottish Gruit / Ancient Herbe,American Double / Imperial IPA,0
Lambic - Unblended,American Double / Imperial IPA,0
Munich Dunkel Lager,American Double / Imperial IPA,0
Roggenbier,American Double / Imperial IPA,0
Faro,American Double / Imperial IPA,0
Kölsch,American Double / Imperial IPA,0
American Dark Wheat Ale,American Double / Imperial IPA,0
Sahti,American Double / Imperial IPA,0
Smoked Beer,American Double / Imperial IPA,0
Euro Dark Lager,American Double / Imperial IPA,0
Weizenbock,American Double / Imperial IPA,0
American Black Ale,American Double / Imperial Pil,0
American Double / Imperial IPA,American Double / Imperial Pil,0
American Double / Imperial Pil,American Double / Imperial Pil,4
American IPA,American Double / Imperial Pil,0
American Double / Imperial Sto,American Double / Imperial Pil,0
Scotch Ale / Wee Heavy,American Double / Imperial Pil,0
Old Ale,American Double / Imperial Pil,0
English Brown Ale,American Double / Imperial Pil,0
Euro Pale Lager,American Double / Imperial Pil,0
Munich Helles Lager,American Double / Imperial Pil,0
Märzen / Oktoberfest,American Double / Imperial Pil,0
Extra Special / Strong Bitter,American Double / Imperial Pil,0
Saison / Farmhouse Ale,American Double / Imperial Pil,0
Belgian Strong Pale Ale,American Double / Imperial Pil,0
Flanders Red Ale,American Double / Imperial Pil,0
Foreign / Export Stout,American Double / Imperial Pil,0
Hefeweizen,American Double / Imperial Pil,0
American Stout,American Double / Imperial Pil,0
Herbed / Spiced Beer,American Double / Imperial Pil,0
American Porter,American Double / Imperial Pil,0
California Common / Steam Beer,American Double / Imperial Pil,0
American Strong Ale,American Double / Imperial Pil,0
American Pale Ale (APA),American Double / Imperial Pil,0
Witbier,American Double / Imperial Pil,0
English Barleywine,American Double / Imperial Pil,0
Pumpkin Ale,American Double / Imperial Pil,0
Japanese Rice Lager,American Double / Imperial Pil,0
Cream Ale,American Double / Imperial Pil,0
Fruit / Vegetable Beer,American Double / Imperial Pil,0
Gose,American Double / Imperial Pil,0
American Brown Ale,American Double / Imperial Pil,0
American Barleywine,American Double / Imperial Pil,0
American Pale Wheat Ale,American Double / Imperial Pil,0
Rye Beer,American Double / Imperial Pil,0
American Amber / Red Ale,American Double / Imperial Pil,0
Belgian IPA,American Double / Imperial Pil,0
German Pilsener,American Double / Imperial Pil,0
Oatmeal Stout,American Double / Imperial Pil,0
Bock,American Double / Imperial Pil,0
English India Pale Ale (IPA),American Double / Imperial Pil,0
Lambic - Fruit,American Double / Imperial Pil,0
Dubbel,American Double / Imperial Pil,0
Belgian Dark Ale,American Double / Imperial Pil,0
Bière de Garde,American Double / Imperial Pil,0
Baltic Porter,American Double / Imperial Pil,0
Russian Imperial Stout,American Double / Imperial Pil,0
American Blonde Ale,American Double / Imperial Pil,0
Tripel,American Double / Imperial Pil,0
Flanders Oud Bruin,American Double / Imperial Pil,0
English Stout,American Double / Imperial Pil,0
Quadrupel (Quad),American Double / Imperial Pil,0
Milk / Sweet Stout,American Double / Imperial Pil,0
Winter Warmer,American Double / Imperial Pil,1
Vienna Lager,American Double / Imperial Pil,0
Irish Red Ale,American Double / Imperial Pil,0
American Adjunct Lager,American Double / Imperial Pil,0
English Bitter,American Double / Imperial Pil,0
Schwarzbier,American Double / Imperial Pil,0
Belgian Strong Dark Ale,American Double / Imperial Pil,0
Belgian Pale Ale,American Double / Imperial Pil,0
Scottish Ale,American Double / Imperial Pil,0
Light Lager,American Double / Imperial Pil,0
American Amber / Red Lager,American Double / Imperial Pil,0
American Pale Lager,American Double / Imperial Pil,0
Dortmunder / Export Lager,American Double / Imperial Pil,0
Altbier,American Double / Imperial Pil,0
Berliner Weissbier,American Double / Imperial Pil,0
English Porter,American Double / Imperial Pil,0
Maibock / Helles Bock,American Double / Imperial Pil,0
Irish Dry Stout,American Double / Imperial Pil,0
Keller Bier / Zwickel Bier,American Double / Imperial Pil,0
English Strong Ale,American Double / Imperial Pil,0
Wheatwine,American Double / Imperial Pil,0
English Pale Ale,American Double / Imperial Pil,0
Bière de Champagne / Bière B,American Double / Imperial Pil,0
Czech Pilsener,American Double / Imperial Pil,0
American Wild Ale,American Double / Imperial Pil,1
Doppelbock,American Double / Imperial Pil,0
Dunkelweizen,American Double / Imperial Pil,0
Gueuze,American Double / Imperial Pil,0
Eisbock,American Double / Imperial Pil,0
Euro Strong Lager,American Double / Imperial Pil,0
Scottish Gruit / Ancient Herbe,American Double / Imperial Pil,0
Lambic - Unblended,American Double / Imperial Pil,0
Munich Dunkel Lager,American Double / Imperial Pil,0
Roggenbier,American Double / Imperial Pil,0
Faro,American Double / Imperial Pil,0
Kölsch,American Double / Imperial Pil,0
American Dark Wheat Ale,American Double / Imperial Pil,0
Sahti,American Double / Imperial Pil,0
Smoked Beer,American Double / Imperial Pil,0
Euro Dark Lager,American Double / Imperial Pil,0
Weizenbock,American Double / Imperial Pil,0
American Black Ale,American IPA,0
American Double / Imperial IPA,American IPA,0
American Double / Imperial Pil,American IPA,0
American IPA,American IPA,59
American Double / Imperial Sto,American IPA,0
Scotch Ale / Wee Heavy,American IPA,0
Old Ale,American IPA,0
English Brown Ale,American IPA,0
Euro Pale Lager,American IPA,0
Munich Helles Lager,American IPA,0
Märzen / Oktoberfest,American IPA,0
Extra Special / Strong Bitter,American IPA,0
Saison / Farmhouse Ale,American IPA,0
Belgian Strong Pale Ale,American IPA,0
Flanders Red Ale,American IPA,0
Foreign / Export Stout,American IPA,0
Hefeweizen,American IPA,0
American Stout,American IPA,0
Herbed / Spiced Beer,American IPA,0
American Porter,American IPA,0
California Common / Steam Beer,American IPA,0
American Strong Ale,American IPA,1
American Pale Ale (APA),American IPA,1
Witbier,American IPA,1
English Barleywine,American IPA,0
Pumpkin Ale,American IPA,0
Japanese Rice Lager,American IPA,0
Cream Ale,American IPA,0
Fruit / Vegetable Beer,American IPA,0
Gose,American IPA,0
American Brown Ale,American IPA,0
American Barleywine,American IPA,0
American Pale Wheat Ale,American IPA,0
Rye Beer,American IPA,0
American Amber / Red Ale,American IPA,0
Belgian IPA,American IPA,0
German Pilsener,American IPA,0
Oatmeal Stout,American IPA,0
Bock,American IPA,1
English India Pale Ale (IPA),American IPA,0
Lambic - Fruit,American IPA,0
Dubbel,American IPA,1
Belgian Dark Ale,American IPA,0
Bière de Garde,American IPA,0
Baltic Porter,American IPA,0
Russian Imperial Stout,American IPA,0
American Blonde Ale,American IPA,1
Tripel,American IPA,0
Flanders Oud Bruin,American IPA,0
English Stout,American IPA,0
Quadrupel (Quad),American IPA,0
Milk / Sweet Stout,American IPA,0
Winter Warmer,American IPA,0
Vienna Lager,American IPA,0
Irish Red Ale,American IPA,0
American Adjunct Lager,American IPA,0
English Bitter,American IPA,0
Schwarzbier,American IPA,1
Belgian Strong Dark Ale,American IPA,1
Belgian Pale Ale,American IPA,0
Scottish Ale,American IPA,0
Light Lager,American IPA,0
American Amber / Red Lager,American IPA,0
American Pale Lager,American IPA,0
Dortmunder / Export Lager,American IPA,0
Altbier,American IPA,0
Berliner Weissbier,American IPA,0
English Porter,American IPA,0
Maibock / Helles Bock,American IPA,0
Irish Dry Stout,American IPA,0
Keller Bier / Zwickel Bier,American IPA,0
English Strong Ale,American IPA,0
Wheatwine,American IPA,0
English Pale Ale,American IPA,0
Bière de Champagne / Bière B,American IPA,0
Czech Pilsener,American IPA,0
American Wild Ale,American IPA,1
Doppelbock,American IPA,0
Dunkelweizen,American IPA,0
Gueuze,American IPA,0
Eisbock,American IPA,0
Euro Strong Lager,American IPA,0
Scottish Gruit / Ancient Herbe,American IPA,0
Lambic - Unblended,American IPA,0
Munich Dunkel Lager,American IPA,0
Roggenbier,American IPA,0
Faro,American IPA,0
Kölsch,American IPA,0
American Dark Wheat Ale,American IPA,0
Sahti,American IPA,0
Smoked Beer,American IPA,0
Euro Dark Lager,American IPA,0
Weizenbock,American IPA,0
American Black Ale,American Double / Imperial Sto,0
American Double / Imperial IPA,American Double / Imperial Sto,0
American Double / Imperial Pil,American Double / Imperial Sto,0
American IPA,American Double / Imperial Sto,0
American Double / Imperial Sto,American Double / Imperial Sto,26
Scotch Ale / Wee Heavy,American Double / Imperial Sto,0
Old Ale,American Double / Imperial Sto,0
English Brown Ale,American Double / Imperial Sto,0
Euro Pale Lager,American Double / Imperial Sto,0
Munich Helles Lager,American Double / Imperial Sto,0
Märzen / Oktoberfest,American Double / Imperial Sto,0
Extra Special / Strong Bitter,American Double / Imperial Sto,0
Saison / Farmhouse Ale,American Double / Imperial Sto,0
Belgian Strong Pale Ale,American Double / Imperial Sto,0
Flanders Red Ale,American Double / Imperial Sto,0
Foreign / Export Stout,American Double / Imperial Sto,0
Hefeweizen,American Double / Imperial Sto,0
American Stout,American Double / Imperial Sto,0
Herbed / Spiced Beer,American Double / Imperial Sto,0
American Porter,American Double / Imperial Sto,0
California Common / Steam Beer,American Double / Imperial Sto,0
American Strong Ale,American Double / Imperial Sto,0
American Pale Ale (APA),American Double / Imperial Sto,1
Witbier,American Double / Imperial Sto,0
English Barleywine,American Double / Imperial Sto,0
Pumpkin Ale,American Double / Imperial Sto,0
Japanese Rice Lager,American Double / Imperial Sto,0
Cream Ale,American Double / Imperial Sto,0
Fruit / Vegetable Beer,American Double / Imperial Sto,0
Gose,American Double / Imperial Sto,0
American Brown Ale,American Double / Imperial Sto,2
American Barleywine,American Double / Imperial Sto,1
American Pale Wheat Ale,American Double / Imperial Sto,0
Rye Beer,American Double / Imperial Sto,0
American Amber / Red Ale,American Double / Imperial Sto,0
Belgian IPA,American Double / Imperial Sto,1
German Pilsener,American Double / Imperial Sto,0
