Source,Target,Weight
Bock,American Porter,0
English India Pale Ale (IPA),American Porter,0
Lambic - Fruit,American Porter,0
Dubbel,American Porter,0
Belgian Dark Ale,American Porter,0
Bière de Garde,American Porter,0
Baltic Porter,American Porter,0
Russian Imperial Stout,American Porter,1
American Blonde Ale,American Porter,0
Tripel,American Porter,0
Flanders Oud Bruin,American Porter,0
English Stout,American Porter,0
Quadrupel (Quad),American Porter,0
Milk / Sweet Stout,American Porter,0
Winter Warmer,American Porter,0
Vienna Lager,American Porter,0
Irish Red Ale,American Porter,0
American Adjunct Lager,American Porter,0
English Bitter,American Porter,0
Schwarzbier,American Porter,0
Belgian Strong Dark Ale,American Porter,1
Belgian Pale Ale,American Porter,0
Scottish Ale,American Porter,0
Light Lager,American Porter,0
American Amber / Red Lager,American Porter,0
American Pale Lager,American Porter,0
Dortmunder / Export Lager,American Porter,0
Altbier,American Porter,0
Berliner Weissbier,American Porter,0
English Porter,American Porter,0
Maibock / Helles Bock,American Porter,0
Irish Dry Stout,American Porter,0
Keller Bier / Zwickel Bier,American Porter,0
English Strong Ale,American Porter,0
Wheatwine,American Porter,0
English Pale Ale,American Porter,0
Bière de Champagne / Bière B,American Porter,0
Czech Pilsener,American Porter,0
American Wild Ale,American Porter,0
Doppelbock,American Porter,0
Dunkelweizen,American Porter,0
Gueuze,American Porter,0
Eisbock,American Porter,0
Euro Strong Lager,American Porter,0
Scottish Gruit / Ancient Herbe,American Porter,0
Lambic - Unblended,American Porter,0
Munich Dunkel Lager,American Porter,0
Roggenbier,American Porter,0
Faro,American Porter,0
Kölsch,American Porter,0
American Dark Wheat Ale,American Porter,0
Sahti,American Porter,0
Smoked Beer,American Porter,0
Euro Dark Lager,American Porter,0
Weizenbock,American Porter,0
American Black Ale,California Common / Steam Beer,0
American Double / Imperial IPA,California Common / Steam Beer,0
American Double / Imperial Pil,California Common / Steam Beer,0
American IPA,California Common / Steam Beer,0
American Double / Imperial Sto,California Common / Steam Beer,0
Scotch Ale / Wee Heavy,California Common / Steam Beer,0
Old Ale,California Common / Steam Beer,0
English Brown Ale,California Common / Steam Beer,0
Euro Pale Lager,California Common / Steam Beer,0
Munich Helles Lager,California Common / Steam Beer,0
Märzen / Oktoberfest,California Common / Steam Beer,0
Extra Special / Strong Bitter,California Common / Steam Beer,0
Saison / Farmhouse Ale,California Common / Steam Beer,0
Belgian Strong Pale Ale,California Common / Steam Beer,0
Flanders Red Ale,California Common / Steam Beer,0
Foreign / Export Stout,California Common / Steam Beer,0
Hefeweizen,California Common / Steam Beer,0
American Stout,California Common / Steam Beer,0
Herbed / Spiced Beer,California Common / Steam Beer,0
American Porter,California Common / Steam Beer,0
California Common / Steam Beer,California Common / Steam Beer,2
American Strong Ale,California Common / Steam Beer,0
American Pale Ale (APA),California Common / Steam Beer,0
Witbier,California Common / Steam Beer,0
English Barleywine,California Common / Steam Beer,0
Pumpkin Ale,California Common / Steam Beer,0
Japanese Rice Lager,California Common / Steam Beer,0
Cream Ale,California Common / Steam Beer,0
Fruit / Vegetable Beer,California Common / Steam Beer,0
Gose,California Common / Steam Beer,0
American Brown Ale,California Common / Steam Beer,0
American Barleywine,California Common / Steam Beer,0
American Pale Wheat Ale,California Common / Steam Beer,0
Rye Beer,California Common / Steam Beer,0
American Amber / Red Ale,California Common / Steam Beer,0
Belgian IPA,California Common / Steam Beer,0
German Pilsener,California Common / Steam Beer,0
Oatmeal Stout,California Common / Steam Beer,0
Bock,California Common / Steam Beer,0
English India Pale Ale (IPA),California Common / Steam Beer,0
Lambic - Fruit,California Common / Steam Beer,0
Dubbel,California Common / Steam Beer,0
Belgian Dark Ale,California Common / Steam Beer,0
Bière de Garde,California Common / Steam Beer,0
Baltic Porter,California Common / Steam Beer,0
Russian Imperial Stout,California Common / Steam Beer,0
American Blonde Ale,California Common / Steam Beer,0
Tripel,California Common / Steam Beer,0
Flanders Oud Bruin,California Common / Steam Beer,0
English Stout,California Common / Steam Beer,0
Quadrupel (Quad),California Common / Steam Beer,0
Milk / Sweet Stout,California Common / Steam Beer,0
Winter Warmer,California Common / Steam Beer,0
Vienna Lager,California Common / Steam Beer,0
Irish Red Ale,California Common / Steam Beer,0
American Adjunct Lager,California Common / Steam Beer,0
English Bitter,California Common / Steam Beer,0
Schwarzbier,California Common / Steam Beer,0
Belgian Strong Dark Ale,California Common / Steam Beer,0
Belgian Pale Ale,California Common / Steam Beer,0
Scottish Ale,California Common / Steam Beer,0
Light Lager,California Common / Steam Beer,0
American Amber / Red Lager,California Common / Steam Beer,0
American Pale Lager,California Common / Steam Beer,0
Dortmunder / Export Lager,California Common / Steam Beer,0
Altbier,California Common / Steam Beer,0
Berliner Weissbier,California Common / Steam Beer,0
English Porter,California Common / Steam Beer,0
Maibock / Helles Bock,California Common / Steam Beer,0
Irish Dry Stout,California Common / Steam Beer,0
Keller Bier / Zwickel Bier,California Common / Steam Beer,0
English Strong Ale,California Common / Steam Beer,0
Wheatwine,California Common / Steam Beer,0
English Pale Ale,California Common / Steam Beer,0
Bière de Champagne / Bière B,California Common / Steam Beer,0
Czech Pilsener,California Common / Steam Beer,0
American Wild Ale,California Common / Steam Beer,0
Doppelbock,California Common / Steam Beer,0
Dunkelweizen,California Common / Steam Beer,0
Gueuze,California Common / Steam Beer,0
Eisbock,California Common / Steam Beer,0
Euro Strong Lager,California Common / Steam Beer,0
Scottish Gruit / Ancient Herbe,California Common / Steam Beer,0
Lambic - Unblended,California Common / Steam Beer,0
Munich Dunkel Lager,California Common / Steam Beer,0
Roggenbier,California Common / Steam Beer,0
Faro,California Common / Steam Beer,0
Kölsch,California Common / Steam Beer,0
American Dark Wheat Ale,California Common / Steam Beer,0
Sahti,California Common / Steam Beer,0
Smoked Beer,California Common / Steam Beer,0
Euro Dark Lager,California Common / Steam Beer,0
Weizenbock,California Common / Steam Beer,0
American Black Ale,American Strong Ale,1
American Double / Imperial IPA,American Strong Ale,0
American Double / Imperial Pil,American Strong Ale,0
American IPA,American Strong Ale,1
American Double / Imperial Sto,American Strong Ale,0
Scotch Ale / Wee Heavy,American Strong Ale,1
Old Ale,American Strong Ale,0
English Brown Ale,American Strong Ale,0
Euro Pale Lager,American Strong Ale,0
Munich Helles Lager,American Strong Ale,0
Märzen / Oktoberfest,American Strong Ale,0
Extra Special / Strong Bitter,American Strong Ale,0
Saison / Farmhouse Ale,American Strong Ale,0
Belgian Strong Pale Ale,American Strong Ale,0
Flanders Red Ale,American Strong Ale,0
Foreign / Export Stout,American Strong Ale,1
Hefeweizen,American Strong Ale,1
American Stout,American Strong Ale,0
Herbed / Spiced Beer,American Strong Ale,0
American Porter,American Strong Ale,0
California Common / Steam Beer,American Strong Ale,0
American Strong Ale,American Strong Ale,22
American Pale Ale (APA),American Strong Ale,0
Witbier,American Strong Ale,0
English Barleywine,American Strong Ale,0
Pumpkin Ale,American Strong Ale,1
Japanese Rice Lager,American Strong Ale,0
Cream Ale,American Strong Ale,0
Fruit / Vegetable Beer,American Strong Ale,0
Gose,American Strong Ale,0
American Brown Ale,American Strong Ale,0
American Barleywine,American Strong Ale,0
American Pale Wheat Ale,American Strong Ale,0
Rye Beer,American Strong Ale,0
American Amber / Red Ale,American Strong Ale,1
Belgian IPA,American Strong Ale,0
German Pilsener,American Strong Ale,0
Oatmeal Stout,American Strong Ale,0
Bock,American Strong Ale,0
English India Pale Ale (IPA),American Strong Ale,0
Lambic - Fruit,American Strong Ale,0
Dubbel,American Strong Ale,1
Belgian Dark Ale,American Strong Ale,0
Bière de Garde,American Strong Ale,0
Baltic Porter,American Strong Ale,0
Russian Imperial Stout,American Strong Ale,1
American Blonde Ale,American Strong Ale,0
Tripel,American Strong Ale,0
Flanders Oud Bruin,American Strong Ale,0
English Stout,American Strong Ale,0
Quadrupel (Quad),American Strong Ale,0
Milk / Sweet Stout,American Strong Ale,0
Winter Warmer,American Strong Ale,0
Vienna Lager,American Strong Ale,0
Irish Red Ale,American Strong Ale,0
American Adjunct Lager,American Strong Ale,0
English Bitter,American Strong Ale,0
Schwarzbier,American Strong Ale,0
Belgian Strong Dark Ale,American Strong Ale,1
Belgian Pale Ale,American Strong Ale,0
Scottish Ale,American Strong Ale,0
Light Lager,American Strong Ale,0
American Amber / Red Lager,American Strong Ale,0
American Pale Lager,American Strong Ale,0
Dortmunder / Export Lager,American Strong Ale,1
Altbier,American Strong Ale,0
Berliner Weissbier,American Strong Ale,0
English Porter,American Strong Ale,0
Maibock / Helles Bock,American Strong Ale,0
Irish Dry Stout,American Strong Ale,0
Keller Bier / Zwickel Bier,American Strong Ale,0
English Strong Ale,American Strong Ale,0
Wheatwine,American Strong Ale,0
English Pale Ale,American Strong Ale,0
Bière de Champagne / Bière B,American Strong Ale,0
Czech Pilsener,American Strong Ale,0
American Wild Ale,American Strong Ale,0
Doppelbock,American Strong Ale,0
Dunkelweizen,American Strong Ale,0
Gueuze,American Strong Ale,0
Eisbock,American Strong Ale,0
Euro Strong Lager,American Strong Ale,0
Scottish Gruit / Ancient Herbe,American Strong Ale,0
Lambic - Unblended,American Strong Ale,0
Munich Dunkel Lager,American Strong Ale,0
Roggenbier,American Strong Ale,0
Faro,American Strong Ale,0
Kölsch,American Strong Ale,0
American Dark Wheat Ale,American Strong Ale,0
Sahti,American Strong Ale,0
Smoked Beer,American Strong Ale,0
Euro Dark Lager,American Strong Ale,0
Weizenbock,American Strong Ale,0
American Black Ale,American Pale Ale (APA),0
American Double / Imperial IPA,American Pale Ale (APA),0
American Double / Imperial Pil,American Pale Ale (APA),0
American IPA,American Pale Ale (APA),1
American Double / Imperial Sto,American Pale Ale (APA),1
Scotch Ale / Wee Heavy,American Pale Ale (APA),0
Old Ale,American Pale Ale (APA),0
English Brown Ale,American Pale Ale (APA),0
Euro Pale Lager,American Pale Ale (APA),1
Munich Helles Lager,American Pale Ale (APA),0
Märzen / Oktoberfest,American Pale Ale (APA),0
Extra Special / Strong Bitter,American Pale Ale (APA),0
Saison / Farmhouse Ale,American Pale Ale (APA),0
Belgian Strong Pale Ale,American Pale Ale (APA),0
Flanders Red Ale,American Pale Ale (APA),0
Foreign / Export Stout,American Pale Ale (APA),0
Hefeweizen,American Pale Ale (APA),2
American Stout,American Pale Ale (APA),0
Herbed / Spiced Beer,American Pale Ale (APA),0
American Porter,American Pale Ale (APA),1
California Common / Steam Beer,American Pale Ale (APA),0
American Strong Ale,American Pale Ale (APA),0
American Pale Ale (APA),American Pale Ale (APA),32
Witbier,American Pale Ale (APA),0
English Barleywine,American Pale Ale (APA),0
Pumpkin Ale,American Pale Ale (APA),0
Japanese Rice Lager,American Pale Ale (APA),0
Cream Ale,American Pale Ale (APA),0
Fruit / Vegetable Beer,American Pale Ale (APA),0
Gose,American Pale Ale (APA),0
American Brown Ale,American Pale Ale (APA),0
American Barleywine,American Pale Ale (APA),0
American Pale Wheat Ale,American Pale Ale (APA),0
Rye Beer,American Pale Ale (APA),0
American Amber / Red Ale,American Pale Ale (APA),0
Belgian IPA,American Pale Ale (APA),0
German Pilsener,American Pale Ale (APA),0
Oatmeal Stout,American Pale Ale (APA),0
Bock,American Pale Ale (APA),0
English India Pale Ale (IPA),American Pale Ale (APA),0
Lambic - Fruit,American Pale Ale (APA),0
Dubbel,American Pale Ale (APA),0
Belgian Dark Ale,American Pale Ale (APA),0
Bière de Garde,American Pale Ale (APA),0
Baltic Porter,American Pale Ale (APA),1
Russian Imperial Stout,American Pale Ale (APA),0
American Blonde Ale,American Pale Ale (APA),1
Tripel,American Pale Ale (APA),0
Flanders Oud Bruin,American Pale Ale (APA),0
English Stout,American Pale Ale (APA),0
Quadrupel (Quad),American Pale Ale (APA),0
Milk / Sweet Stout,American Pale Ale (APA),1
Winter Warmer,American Pale Ale (APA),1
Vienna Lager,American Pale Ale (APA),0
Irish Red Ale,American Pale Ale (APA),0
American Adjunct Lager,American Pale Ale (APA),0
English Bitter,American Pale Ale (APA),0
Schwarzbier,American Pale Ale (APA),0
Belgian Strong Dark Ale,American Pale Ale (APA),1
Belgian Pale Ale,American Pale Ale (APA),0
Scottish Ale,American Pale Ale (APA),0
Light Lager,American Pale Ale (APA),0
American Amber / Red Lager,American Pale Ale (APA),0
American Pale Lager,American Pale Ale (APA),0
Dortmunder / Export Lager,American Pale Ale (APA),0
Altbier,American Pale Ale (APA),0
Berliner Weissbier,American Pale Ale (APA),1
English Porter,American Pale Ale (APA),0
Maibock / Helles Bock,American Pale Ale (APA),0
Irish Dry Stout,American Pale Ale (APA),0
Keller Bier / Zwickel Bier,American Pale Ale (APA),0
English Strong Ale,American Pale Ale (APA),0
Wheatwine,American Pale Ale (APA),0
English Pale Ale,American Pale Ale (APA),0
Bière de Champagne / Bière B,American Pale Ale (APA),0
Czech Pilsener,American Pale Ale (APA),0
American Wild Ale,American Pale Ale (APA),1
Doppelbock,American Pale Ale (APA),0
Dunkelweizen,American Pale Ale (APA),0
Gueuze,American Pale Ale (APA),0
Eisbock,American Pale Ale (APA),0
Euro Strong Lager,American Pale Ale (APA),0
Scottish Gruit / Ancient Herbe,American Pale Ale (APA),0
Lambic - Unblended,American Pale Ale (APA),0
Munich Dunkel Lager,American Pale Ale (APA),0
Roggenbier,American Pale Ale (APA),1
Faro,American Pale Ale (APA),0
Kölsch,American Pale Ale (APA),0
American Dark Wheat Ale,American Pale Ale (APA),0
Sahti,American Pale Ale (APA),0
Smoked Beer,American Pale Ale (APA),0
Euro Dark Lager,American Pale Ale (APA),0
Weizenbock,American Pale Ale (APA),0
American Black Ale,Witbier,0
American Double / Imperial IPA,Witbier,0
American Double / Imperial Pil,Witbier,0
American IPA,Witbier,1
American Double / Imperial Sto,Witbier,0
Scotch Ale / Wee Heavy,Witbier,0
Old Ale,Witbier,0
English Brown Ale,Witbier,0
Euro Pale Lager,Witbier,0
Munich Helles Lager,Witbier,0
Märzen / Oktoberfest,Witbier,0
Extra Special / Strong Bitter,Witbier,0
Saison / Farmhouse Ale,Witbier,0
Belgian Strong Pale Ale,Witbier,0
Flanders Red Ale,Witbier,0
Foreign / Export Stout,Witbier,0
Hefeweizen,Witbier,0
American Stout,Witbier,0
Herbed / Spiced Beer,Witbier,0
American Porter,Witbier,0
California Common / Steam Beer,Witbier,0
American Strong Ale,Witbier,0
American Pale Ale (APA),Witbier,0
Witbier,Witbier,18
English Barleywine,Witbier,0
Pumpkin Ale,Witbier,0
Japanese Rice Lager,Witbier,0
Cream Ale,Witbier,0
Fruit / Vegetable Beer,Witbier,0
Gose,Witbier,0
American Brown Ale,Witbier,0
American Barleywine,Witbier,0
American Pale Wheat Ale,Witbier,0
Rye Beer,Witbier,2
American Amber / Red Ale,Witbier,0
Belgian IPA,Witbier,0
German Pilsener,Witbier,0
Oatmeal Stout,Witbier,0
Bock,Witbier,0
English India Pale Ale (IPA),Witbier,0
Lambic - Fruit,Witbier,0
Dubbel,Witbier,0
Belgian Dark Ale,Witbier,0
Bière de Garde,Witbier,0
Baltic Porter,Witbier,0
Russian Imperial Stout,Witbier,0
American Blonde Ale,Witbier,0
Tripel,Witbier,1
Flanders Oud Bruin,Witbier,0
English Stout,Witbier,0
Quadrupel (Quad),Witbier,0
Milk / Sweet Stout,Witbier,0
Winter Warmer,Witbier,1
Vienna Lager,Witbier,0
Irish Red Ale,Witbier,0
American Adjunct Lager,Witbier,0
English Bitter,Witbier,0
Schwarzbier,Witbier,0
Belgian Strong Dark Ale,Witbier,0
Belgian Pale Ale,Witbier,0
Scottish Ale,Witbier,0
Light Lager,Witbier,0
American Amber / Red Lager,Witbier,0
American Pale Lager,Witbier,0
Dortmunder / Export Lager,Witbier,0
Altbier,Witbier,0
Berliner Weissbier,Witbier,0
English Porter,Witbier,0
Maibock / Helles Bock,Witbier,1
Irish Dry Stout,Witbier,0
Keller Bier / Zwickel Bier,Witbier,0
English Strong Ale,Witbier,0
Wheatwine,Witbier,0
English Pale Ale,Witbier,0
Bière de Champagne / Bière B,Witbier,0
Czech Pilsener,Witbier,0
American Wild Ale,Witbier,1
Doppelbock,Witbier,0
Dunkelweizen,Witbier,0
Gueuze,Witbier,0
Eisbock,Witbier,0
Euro Strong Lager,Witbier,0
Scottish Gruit / Ancient Herbe,Witbier,0
Lambic - Unblended,Witbier,0
Munich Dunkel Lager,Witbier,0
Roggenbier,Witbier,0
Faro,Witbier,0
Kölsch,Witbier,0
American Dark Wheat Ale,Witbier,0
Sahti,Witbier,0
Smoked Beer,Witbier,0
Euro Dark Lager,Witbier,0
Weizenbock,Witbier,0
American Black Ale,English Barleywine,0
American Double / Imperial IPA,English Barleywine,0
American Double / Imperial Pil,English Barleywine,0
American IPA,English Barleywine,0
American Double / Imperial Sto,English Barleywine,0
Scotch Ale / Wee Heavy,English Barleywine,0
Old Ale,English Barleywine,0
English Brown Ale,English Barleywine,0
Euro Pale Lager,English Barleywine,0
Munich Helles Lager,English Barleywine,0
Märzen / Oktoberfest,English Barleywine,0
Extra Special / Strong Bitter,English Barleywine,0
Saison / Farmhouse Ale,English Barleywine,0
Belgian Strong Pale Ale,English Barleywine,0
Flanders Red Ale,English Barleywine,0
Foreign / Export Stout,English Barleywine,0
Hefeweizen,English Barleywine,0
American Stout,English Barleywine,0
Herbed / Spiced Beer,English Barleywine,0
American Porter,English Barleywine,0
California Common / Steam Beer,English Barleywine,0
American Strong Ale,English Barleywine,0
American Pale Ale (APA),English Barleywine,0
Witbier,English Barleywine,0
English Barleywine,English Barleywine,13
Pumpkin Ale,English Barleywine,0
Japanese Rice Lager,English Barleywine,0
Cream Ale,English Barleywine,0
Fruit / Vegetable Beer,English Barleywine,0
Gose,English Barleywine,0
American Brown Ale,English Barleywine,0
American Barleywine,English Barleywine,1
American Pale Wheat Ale,English Barleywine,0
Rye Beer,English Barleywine,0
American Amber / Red Ale,English Barleywine,0
Belgian IPA,English Barleywine,0
German Pilsener,English Barleywine,0
Oatmeal Stout,English Barleywine,1
Bock,English Barleywine,0
English India Pale Ale (IPA),English Barleywine,0
Lambic - Fruit,English Barleywine,0
Dubbel,English Barleywine,0
Belgian Dark Ale,English Barleywine,0
Bière de Garde,English Barleywine,0
Baltic Porter,English Barleywine,0
Russian Imperial Stout,English Barleywine,0
American Blonde Ale,English Barleywine,0
Tripel,English Barleywine,0
Flanders Oud Bruin,English Barleywine,0
English Stout,English Barleywine,0
Quadrupel (Quad),English Barleywine,0
Milk / Sweet Stout,English Barleywine,0
Winter Warmer,English Barleywine,1
Vienna Lager,English Barleywine,0
Irish Red Ale,English Barleywine,0
American Adjunct Lager,English Barleywine,0
English Bitter,English Barleywine,0
Schwarzbier,English Barleywine,0
Belgian Strong Dark Ale,English Barleywine,0
Belgian Pale Ale,English Barleywine,0
Scottish Ale,English Barleywine,0
Light Lager,English Barleywine,0
American Amber / Red Lager,English Barleywine,0
American Pale Lager,English Barleywine,0
Dortmunder / Export Lager,English Barleywine,0
Altbier,English Barleywine,0
Berliner Weissbier,English Barleywine,0
English Porter,English Barleywine,0
Maibock / Helles Bock,English Barleywine,0
Irish Dry Stout,English Barleywine,0
Keller Bier / Zwickel Bier,English Barleywine,0
English Strong Ale,English Barleywine,0
Wheatwine,English Barleywine,0
English Pale Ale,English Barleywine,0
Bière de Champagne / Bière B,English Barleywine,0
Czech Pilsener,English Barleywine,0
American Wild Ale,English Barleywine,0
Doppelbock,English Barleywine,1
Dunkelweizen,English Barleywine,0
Gueuze,English Barleywine,0
Eisbock,English Barleywine,0
Euro Strong Lager,English Barleywine,0
Scottish Gruit / Ancient Herbe,English Barleywine,0
Lambic - Unblended,English Barleywine,0
Munich Dunkel Lager,English Barleywine,0
Roggenbier,English Barleywine,0
Faro,English Barleywine,0
Kölsch,English Barleywine,0
American Dark Wheat Ale,English Barleywine,0
Sahti,English Barleywine,0
Smoked Beer,English Barleywine,0
Euro Dark Lager,English Barleywine,0
Weizenbock,English Barleywine,0
American Black Ale,Pumpkin Ale,0
American Double / Imperial IPA,Pumpkin Ale,1
American Double / Imperial Pil,Pumpkin Ale,0
American IPA,Pumpkin Ale,0
American Double / Imperial Sto,Pumpkin Ale,0
Scotch Ale / Wee Heavy,Pumpkin Ale,0
Old Ale,Pumpkin Ale,0
English Brown Ale,Pumpkin Ale,0
Euro Pale Lager,Pumpkin Ale,0
Munich Helles Lager,Pumpkin Ale,0
Märzen / Oktoberfest,Pumpkin Ale,0
Extra Special / Strong Bitter,Pumpkin Ale,0
Saison / Farmhouse Ale,Pumpkin Ale,0
Belgian Strong Pale Ale,Pumpkin Ale,0
Flanders Red Ale,Pumpkin Ale,0
Foreign / Export Stout,Pumpkin Ale,0
Hefeweizen,Pumpkin Ale,0
American Stout,Pumpkin Ale,0
Herbed / Spiced Beer,Pumpkin Ale,0
American Porter,Pumpkin Ale,0
California Common / Steam Beer,Pumpkin Ale,0
American Strong Ale,Pumpkin Ale,1
American Pale Ale (APA),Pumpkin Ale,0
Witbier,Pumpkin Ale,0
English Barleywine,Pumpkin Ale,0
Pumpkin Ale,Pumpkin Ale,7
Japanese Rice Lager,Pumpkin Ale,0
Cream Ale,Pumpkin Ale,0
Fruit / Vegetable Beer,Pumpkin Ale,0
Gose,Pumpkin Ale,0
American Brown Ale,Pumpkin Ale,0
American Barleywine,Pumpkin Ale,0
American Pale Wheat Ale,Pumpkin Ale,0
Rye Beer,Pumpkin Ale,0
American Amber / Red Ale,Pumpkin Ale,0
Belgian IPA,Pumpkin Ale,0
German Pilsener,Pumpkin Ale,0
Oatmeal Stout,Pumpkin Ale,0
Bock,Pumpkin Ale,0
English India Pale Ale (IPA),Pumpkin Ale,0
Lambic - Fruit,Pumpkin Ale,0
Dubbel,Pumpkin Ale,0
Belgian Dark Ale,Pumpkin Ale,0
Bière de Garde,Pumpkin Ale,0
Baltic Porter,Pumpkin Ale,0
Russian Imperial Stout,Pumpkin Ale,0
American Blonde Ale,Pumpkin Ale,0
Tripel,Pumpkin Ale,0
Flanders Oud Bruin,Pumpkin Ale,0
English Stout,Pumpkin Ale,0
Quadrupel (Quad),Pumpkin Ale,0
Milk / Sweet Stout,Pumpkin Ale,0
Winter Warmer,Pumpkin Ale,0
Vienna Lager,Pumpkin Ale,0
Irish Red Ale,Pumpkin Ale,0
American Adjunct Lager,Pumpkin Ale,0
English Bitter,Pumpkin Ale,0
Schwarzbier,Pumpkin Ale,0
Belgian Strong Dark Ale,Pumpkin Ale,0
Belgian Pale Ale,Pumpkin Ale,0
Scottish Ale,Pumpkin Ale,0
Light Lager,Pumpkin Ale,0
American Amber / Red Lager,Pumpkin Ale,0
American Pale Lager,Pumpkin Ale,0
Dortmunder / Export Lager,Pumpkin Ale,0
Altbier,Pumpkin Ale,0
Berliner Weissbier,Pumpkin Ale,0
English Porter,Pumpkin Ale,0
Maibock / Helles Bock,Pumpkin Ale,0
Irish Dry Stout,Pumpkin Ale,0
Keller Bier / Zwickel Bier,Pumpkin Ale,0
English Strong Ale,Pumpkin Ale,0
Wheatwine,Pumpkin Ale,0
English Pale Ale,Pumpkin Ale,0
Bière de Champagne / Bière B,Pumpkin Ale,0
Czech Pilsener,Pumpkin Ale,0
American Wild Ale,Pumpkin Ale,0
Doppelbock,Pumpkin Ale,0
Dunkelweizen,Pumpkin Ale,0
Gueuze,Pumpkin Ale,0
Eisbock,Pumpkin Ale,0
Euro Strong Lager,Pumpkin Ale,0
Scottish Gruit / Ancient Herbe,Pumpkin Ale,0
Lambic - Unblended,Pumpkin Ale,0
Munich Dunkel Lager,Pumpkin Ale,0
Roggenbier,Pumpkin Ale,0
Faro,Pumpkin Ale,0
Kölsch,Pumpkin Ale,0
American Dark Wheat Ale,Pumpkin Ale,0
Sahti,Pumpkin Ale,0
Smoked Beer,Pumpkin Ale,0
Euro Dark Lager,Pumpkin Ale,0
Weizenbock,Pumpkin Ale,0
American Black Ale,Japanese Rice Lager,0
American Double / Imperial IPA,Japanese Rice Lager,0
American Double / Imperial Pil,Japanese Rice Lager,0
American IPA,Japanese Rice Lager,0
American Double / Imperial Sto,Japanese Rice Lager,0
Scotch Ale / Wee Heavy,Japanese Rice Lager,0
Old Ale,Japanese Rice Lager,0
English Brown Ale,Japanese Rice Lager,0
Euro Pale Lager,Japanese Rice Lager,0
Munich Helles Lager,Japanese Rice Lager,0
Märzen / Oktoberfest,Japanese Rice Lager,0
Extra Special / Strong Bitter,Japanese Rice Lager,0
Saison / Farmhouse Ale,Japanese Rice Lager,0
Belgian Strong Pale Ale,Japanese Rice Lager,0
Flanders Red Ale,Japanese Rice Lager,0
Foreign / Export Stout,Japanese Rice Lager,0
Hefeweizen,Japanese Rice Lager,0
American Stout,Japanese Rice Lager,0
Herbed / Spiced Beer,Japanese Rice Lager,0
American Porter,Japanese Rice Lager,0
California Common / Steam Beer,Japanese Rice Lager,0
American Strong Ale,Japanese Rice Lager,0
American Pale Ale (APA),Japanese Rice Lager,0
Witbier,Japanese Rice Lager,0
English Barleywine,Japanese Rice Lager,0
Pumpkin Ale,Japanese Rice Lager,0
Japanese Rice Lager,Japanese Rice Lager,1
Cream Ale,Japanese Rice Lager,0
Fruit / Vegetable Beer,Japanese Rice Lager,0
Gose,Japanese Rice Lager,0
American Brown Ale,Japanese Rice Lager,0
American Barleywine,Japanese Rice Lager,0
American Pale Wheat Ale,Japanese Rice Lager,0
Rye Beer,Japanese Rice Lager,0
American Amber / Red Ale,Japanese Rice Lager,0
Belgian IPA,Japanese Rice Lager,0
German Pilsener,Japanese Rice Lager,0
Oatmeal Stout,Japanese Rice Lager,0
Bock,Japanese Rice Lager,0
English India Pale Ale (IPA),Japanese Rice Lager,0
Lambic - Fruit,Japanese Rice Lager,0
Dubbel,Japanese Rice Lager,0
Belgian Dark Ale,Japanese Rice Lager,0
Bière de Garde,Japanese Rice Lager,0
Baltic Porter,Japanese Rice Lager,0
Russian Imperial Stout,Japanese Rice Lager,0
American Blonde Ale,Japanese Rice Lager,0
Tripel,Japanese Rice Lager,0
Flanders Oud Bruin,Japanese Rice Lager,0
English Stout,Japanese Rice Lager,0
Quadrupel (Quad),Japanese Rice Lager,0
Milk / Sweet Stout,Japanese Rice Lager,0
Winter Warmer,Japanese Rice Lager,0
Vienna Lager,Japanese Rice Lager,0
Irish Red Ale,Japanese Rice Lager,0
American Adjunct Lager,Japanese Rice Lager,0
English Bitter,Japanese Rice Lager,0
Schwarzbier,Japanese Rice Lager,0
Belgian Strong Dark Ale,Japanese Rice Lager,0
Belgian Pale Ale,Japanese Rice Lager,0
Scottish Ale,Japanese Rice Lager,0
Light Lager,Japanese Rice Lager,0
American Amber / Red Lager,Japanese Rice Lager,0
American Pale Lager,Japanese Rice Lager,0
Dortmunder / Export Lager,Japanese Rice Lager,0
Altbier,Japanese Rice Lager,0
Berliner Weissbier,Japanese Rice Lager,0
English Porter,Japanese Rice Lager,0
Maibock / Helles Bock,Japanese Rice Lager,0
Irish Dry Stout,Japanese Rice Lager,0
Keller Bier / Zwickel Bier,Japanese Rice Lager,0
English Strong Ale,Japanese Rice Lager,0
Wheatwine,Japanese Rice Lager,0
English Pale Ale,Japanese Rice Lager,0
Bière de Champagne / Bière B,Japanese Rice Lager,0
Czech Pilsener,Japanese Rice Lager,0
American Wild Ale,Japanese Rice Lager,0
Doppelbock,Japanese Rice Lager,0
Dunkelweizen,Japanese Rice Lager,0
Gueuze,Japanese Rice Lager,0
Eisbock,Japanese Rice Lager,0
Euro Strong Lager,Japanese Rice Lager,0
Scottish Gruit / Ancient Herbe,Japanese Rice Lager,0
Lambic - Unblended,Japanese Rice Lager,0
Munich Dunkel Lager,Japanese Rice Lager,0
Roggenbier,Japanese Rice Lager,0
Faro,Japanese Rice Lager,0
Kölsch,Japanese Rice Lager,0
American Dark Wheat Ale,Japanese Rice Lager,0
Sahti,Japanese Rice Lager,0
